Artikelnr;acc_name;Gesamtnr;row;ausg_nr;beznr_komm;relative_date;text
23;hkl00002;1;1;1;9999;2015-11-20 00:30;
23;einedmarksiebenschilling;2;1;2;9999;2015-11-20 00:31;
23;Claus der Witz;3;2;2;2;2015-11-20 00:32;
23;Immernett;4;2;2;2;2015-11-20 00:33;
23;kenjataimu;5;2;2;2;2015-11-20 00:34;
23;inowur;6;3;3;3;2015-11-20 00:35;
23;Ariovistus52;7;3;3;3;2015-11-20 00:36;
23;Mod sq praeter speciem stultus est.;8;4;6;6;2015-11-20 00:37;
23;BonBonn;9;2;2;2;2015-11-20 00:38;
23;Nichtmehrganzlinks;10;3;3;3;2015-11-20 00:39;
23;Rehregression zur Mitte.R_h2S;11;4;6;6;2015-11-20 00:40;
23;Claus der Witz;12;4;6;6;2015-11-20 00:41;
23;Rehregression zur Mitte.R_h2S;13;5;12;12;2015-11-20 00:42;
23;hkl00002;14;2;2;2;2015-11-20 00:43;
23;Rahus;15;1;15;9999;2015-11-20 00:44;
23;Badschibumdum;16;2;15;15;2015-11-20 00:45;
23;Stefan6731;17;2;15;15;2015-11-20 00:46;
23;ionwur;18;3;17;17;2015-11-20 00:47;
23;Badschibumdum;19;3;17;17;2015-11-20 00:48;
23;Max Maler;20;3;17;17;2015-11-20 00:49;
23;Max Maler;21;4;20;20;2015-11-20 00:50;
23;LinkerIrrsinn;22;2;15;15;2015-11-20 00:51;
23;Stefan6731;23;4;20;20;2015-11-20 00:52;
23;Stefan6731;24;4;18;18;2015-11-20 00:53;
23;LinkerIrrsinn;25;5;24;24;2015-11-20 00:54;
23;Juliett Tango Two;26;1;26;9999;2015-11-20 00:55;
23;Im Orbit;27;2;26;26;2015-11-20 00:56;
23;white trash;28;2;26;26;2015-11-20 00:57;
23;Rehregression zur Mitte.R_h2S;29;3;27;27;2015-11-20 00:58;
23;mudd1;30;2;26;26;2015-11-20 00:59;
23;Rehregression zur Mitte.R_h2S;31;3;30;30;2015-11-20 01:00;
23;Richard Gear;32;2;26;26;2015-11-20 01:01;
23;Kakophonie;33;1;33;9999;2015-11-20 01:02;
23;enedmarksiebenschilling;34;2;33;33;2015-11-20 01:03;
23;Juliett Tango Two;35;2;33;33;2015-11-20 01:04;
23;Kakophonie;36;3;35;35;2015-11-20 01:05;
23;Grimbold Falschwähler;37;2;33;33;2015-11-20 01:06;
23;Aikansa Kutakin;38;2;33;33;2015-11-20 01:07;
23;Grimbold Falschwähler;39;3;38;38;2015-11-20 01:08;
23;Jubiläum2000;40;3;38;38;2015-11-20 01:09;
23;Rehregression zur Mitte.R_h2S;41;4;40;40;2015-11-20 01:10;
23;Kakophonie;42;3;37;37;2015-11-20 01:11;
23;Grimbold Falschwähler;43;4;42;42;2015-11-20 01:12;
23;Claus der Witz;44;1;44;9999;2015-11-20 01:13;
23;Kakophonie;45;2;44;44;2015-11-20 01:14;
23;Claus der Witz;46;3;45;45;2015-11-20 01:15;
23;roterkater2009;47;2;44;44;2015-11-20 01:16;
23;Kakophonie;48;4;46;46;2015-11-20 01:17;
23;Kommentist;49;1;49;9999;2015-11-20 01:18;
23;Tom Ahak;50;1;50;9999;2015-11-20 01:19;
23;Vinophil;51;1;51;9999;2015-11-20 01:20;
23;Kakophonie;52;2;51;51;2015-11-20 01:21;
23;kritiseher;53;1;53;9999;2015-11-20 01:22;
23;Schanddadh;54;2;53;53;2015-11-20 01:23;
23;Franjo 1;55;1;55;9999;2015-11-20 01:24;
23;Kakophonie;56;2;55;55;2015-11-20 01:25;
23;Schanddadh;57;2;55;55;2015-11-20 01:26;
23;Bixiou;58;1;58;9999;2015-11-20 01:27;
23;Der Duktus;59;2;58;58;2015-11-20 01:28;
23;Mattemattickerin;60;2;58;58;2015-11-20 01:29;
23;Jubiläum2000;61;1;61;9999;2015-11-20 01:30;
23;Baum2k;62;1;62;9999;2015-11-20 01:31;
23;Kimmerier;63;2;62;62;2015-11-20 01:32;
23;Sternzeichen XY;64;1;64;9999;2015-11-20 01:33;
23;Sternzeichen XY;65;1;65;9999;2015-11-20 01:34;
23;Claqueur;66;1;66;9999;2015-11-20 01:35;
23;Kimmerier;67;1;67;9999;2015-11-20 01:36;
23;skeptischer;68;1;68;9999;2015-11-20 01:37;
23;Dashatnichtsmitnichtszutun;69;1;69;9999;2015-11-20 01:38;
23;ChristianBW;70;1;70;9999;2015-11-20 01:39;
23;Sternzeichen XY;71;2;70;70;2015-11-20 01:40;
23;Der Duktus;72;2;70;70;2015-11-20 01:41;
23;R. Dietrch;73;1;73;9999;2015-11-20 01:42;
23;BRCS;74;1;74;9999;2015-11-20 01:43;
23;eins2;75;1;75;9999;2015-11-20 01:44;
23;Kioto-Zeit;76;1;76;9999;2015-11-20 01:45;
23;Konservative;77;1;77;9999;2015-11-20 01:46;
23;Schwarz Rot Senf;78;1;78;9999;2015-11-20 01:47;
23;SweetCharlotte;79;1;79;9999;2015-11-20 01:48;
23;chris15;80;1;80;9999;2015-11-20 01:49;
